Mixture	Fetal Mesenchymal Stem Cells	CD14+ Monocytes	CD8+ Activated T Cells	Naive CD4+ T Cells	Naive CD8+ T Cells	Natural Killer T Cells	B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Cytotrophoblast	Fetal Nucleated Red Blood Cells	Maternal FCGR3A+ Monocytes	Maternal Plasma Cells	Fetal Extravillous Trophoblasts	P-value	Correlation	RMSE
SCP4578	0.12512966877548298	0.03628777001004636	0.00000000000000000	0.00000000000000000	0.14857010410208130	0.06726771548330984	0.03931214028156582	0.00000000000000000	0.10048750169743091	0.04066662092383166	0.00662844484884885	0.00000000000000000	0.07745390120711494	0.07137200203917493	0.01501715610526909	0.19862419975627510	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07318277476956817	0.00000000000000000	0.98140298185517372	0.74513710048244886
SCP4809	0.08970281564288747	0.02230887161932091	0.00000000000000000	0.00000000000000000	0.16333239752769124	0.09272558033648315	0.02816431662975979	0.00000000000000000	0.01702362562303601	0.06248025608329241	0.00000000000000000	0.00000000000000000	0.03914319776505380	0.12553082445327524	0.09420537054557827	0.20065907503617175	0.00256969869260145	0.00558804912304364	0.00000000000000000	0.05656592092180510	0.00000000000000000	0.97284462385835790	0.58304619108384992
SCP4913	0.07820572620885412	0.01219742741336656	0.00000000000000000	0.00000000000000000	0.24236706166567137	0.05820667495685738	0.01994255296777343	0.00884090009291653	0.03250065593988379	0.05769838883911827	0.00000000000000000	0.00000000000000000	0.02663765480802267	0.11811517475078147	0.00938220585355288	0.26066549418390056	0.00112935959817411	0.00000000000000000	0.00000000000000000	0.07411072272112669	0.00000000000000000	0.97979533881325964	0.59592837962980783
STP0105	0.09128458880868726	0.00624276375151162	0.00000000000000000	0.00000000000000000	0.16851918149359393	0.05190685744311620	0.03624774637642843	0.00000000000000000	0.07654544435543827	0.03589878368464975	0.00000000000000000	0.00000000000000000	0.04771994718508155	0.14879154819243759	0.02511697409292780	0.23692076574798385	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07480539886814379	0.00000000000000000	0.97565264344611080	0.50748773950929038
STP0148	0.14354300198322989	0.00576568017722341	0.00000000000000000	0.02309553153913517	0.01388508270188580	0.09968559464206009	0.02507459005313105	0.00000000000000000	0.00000000000000000	0.05477390712711492	0.05361062416025335	0.00000000000000000	0.00617946266696884	0.02360985651783508	0.01047273512032288	0.47380656709283059	0.00025411935753808	0.04381419958842703	0.00000000000000000	0.02242904727204395	0.00000000000000000	0.55397523171884266	0.94685958448597130
STP0378	0.10187360438176815	0.02725213868151290	0.00000964087138316	0.00000000000000000	0.11420044537336758	0.06630167397048448	0.06564631575004937	0.00000000000000000	0.09776167630125682	0.06436268915538677	0.00000000000000000	0.00000000000000000	0.05928924193565610	0.08185799258652722	0.04328615142359794	0.21287417730869679	0.00070862805423886	0.00000000000000000	0.00000000000000000	0.06457562420607389	0.00000000000000000	0.97450886199454934	0.71609088209588623
STP0583	0.06409421106516314	0.02319336292470469	0.00000000000000000	0.00000000000000000	0.06343973770202174	0.05051156905045068	0.07704218182346814	0.01849585761937450	0.08742847378064945	0.03068420961937609	0.01564376055768325	0.00000000000000000	0.05047961315919135	0.02689381923851759	0.00338418757052587	0.20874734818667900	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.27996166770219466	0.00000000000000000	0.89026365294644449	0.87024439616529359
STP0596	0.15244916231048630	0.01944089424096017	0.00220187795586758	0.00000000000000000	0.08547588524113403	0.01636728107948547	0.04673506814334295	0.00288786368702374	0.01938105034393920	0.20163630025480617	0.00000000000000000	0.02569008067532162	0.07130467064488255	0.00000000000000000	0.12355073413678336	0.09282137288438194	0.00718835324819512	0.06823832280310255	0.00000000000000000	0.06463108235028715	0.00000000000000000	0.88855531498852303	0.94753162565988447
STP0795	0.11551056910082608	0.02152712496552550	0.00000000000000000	0.00000000000000000	0.22199184496664950	0.06303689741033416	0.03297192014643806	0.00000000000000000	0.08055257649603646	0.05440129316855272	0.00000000000000000	0.00000000000000000	0.04477284035758560	0.10386097487342114	0.04034440151249547	0.17598373648493817	0.00217877039042766	0.00000000000000000	0.00000000000000000	0.04286705012676958	0.00000000000000000	0.98935754217317584	0.64124683826889683
STP0932	0.07921022312638087	0.02266651557098848	0.00000000000000000	0.00000000000000000	0.03637960138972635	0.14550413717228036	0.07224172852132267	0.00000000000000000	0.08004307649919673	0.03008413903802884	0.01762467514744889	0.00000000000000000	0.05482083826082328	0.09454904515352702	0.02243110458308294	0.25492069243015641	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.08952422310703723	0.00000000000000000	0.96232696107855320	0.68042477380687916
