Geneid	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP3954_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP4733_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0148_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0596_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0932_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP1206_marked_duplicates.bam
ENSG00000284616.1	0	0	0	0	0	0
ENSG00000284692.2	1	0	0	1	1	0
ENSG00000284666.1	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0
ENSG00000131697.17	46	6	36	26	14	14
ENSG00000069424.14	45	6	97	58	34	7
ENSG00000116254.17	6	3	1	1	2	0
ENSG00000285629.1	0	0	0	0	0	0
ENSG00000116251.10	1492	407	1888	904	411	550
ENSG00000226944.1	0	0	0	0	0	0
ENSG00000158286.12	251	108	97	36	53	43
ENSG00000116237.15	1285	611	2678	874	683	846
ENSG00000225077.3	10	4	42	2	3	3
ENSG00000173673.7	0	0	0	0	0	0
ENSG00000158292.6	159	37	242	132	76	66
ENSG00000097021.19	176	38	229	79	96	138
ENSG00000271746.1	0	0	0	0	0	0
ENSG00000069812.11	1508	489	5627	168	1420	1211
ENSG00000187017.16	45	6	80	13	24	14
ENSG00000265392.1	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0
ENSG00000215788.10	60	13	20	13	35	12
ENSG00000171680.21	254	50	142	112	154	64
ENSG00000162408.10	471	238	716	265	237	241
ENSG00000253022.1	0	0	0	0	0	0
ENSG00000229519.2	4	1	1	0	1	2
ENSG00000173662.20	2	1	0	2	0	0
ENSG00000204859.12	145	20	117	39	30	44
ENSG00000162413.16	259	37	387	152	102	86
ENSG00000116273.5	365	134	365	125	274	207
ENSG00000041988.15	128	14	142	56	61	68
ENSG00000007923.15	349	116	536	216	166	198
ENSG00000228750.6	2	0	0	0	0	0
ENSG00000284744.1	0	0	0	0	0	0
ENSG00000237436.1	0	0	0	0	0	0
ENSG00000171735.18	176	43	144	117	53	46
ENSG00000227950.1	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0
ENSG00000237402.1	0	0	1	0	0	0
ENSG00000237728.2	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0
ENSG00000270171.1	0	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0
ENSG00000049245.12	1814	846	2490	759	563	967
ENSG00000269925.1	7	6	5	8	5	5
ENSG00000049246.14	83	58	108	58	38	46
ENSG00000236266.1	0	0	2	0	0	1
ENSG00000049247.13	0	0	0	0	0	0
ENSG00000049249.8	2	0	4	14	1	0
ENSG00000270330.1	0	0	0	0	0	0
ENSG00000116288.12	849	264	1604	633	294	510
