NAME	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts
AL117336.1	1.03683465281926401	1.97459293418013848	22.92455882491759311	10.58281315071740813	11.69826910557209665	9.47816114931735498	13.17490695429822978	6.92592592592590872	2.19858662664986060	2.44710571310118041	1.00000000000000000	1.00000000000000000	6.09971687685862474	1.00000000000000000	1.00000000000000000	2.33136943126442375	1.24272677625358785	1.00000000000000000	13.69378715122116574	5.80788599745807588	1.76991956860995403	5.21725548843827358	15.70289147950496123	6.15301047005987556	4.69981388816786172	4.36177666280011156	1.05857961912970167
AL118516.1	14.91722708988633350	46.45235173882674218	30.55136587473052856	27.90101256885618852	20.79748018172962887	50.12444894665024009	16.44428356938017544	130.73470859706424108	50.68529797164399753	57.11386993659397859	25.04637233936312057	70.15107638610159313	17.65458396362301130	1.51603421513260095	28.22515409760545424	32.81588903511148203	31.20891490664874013	1.00000000000000000	26.64022021542013974	29.35409947702772371	33.60643087572853460	41.53307025585755952	28.77302252505027980	12.90001759425335948	6.05795842175199439	24.38348384353702158	10.96461601495884786
AL118558.3	5.98091209375997579	6.42846467033230962	1.00000000000000000	1.00000000000000000	1.00000000000000000	6.56699883093023207	2.57539916954054071	19.28086809206519092	3.65612715411912825	10.38827013643497388	3.26644304428629395	11.12494178158471136	5.47152824381890657	2.53366705928542757	3.52319066808981951	4.12500414679705951	3.19492050471606737	1.00000000000000000	1.86423937529991601	1.00000000000000000	4.24480322234781937	1.93192967576157493	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	2.97117630446516223
AL121603.2	1.50909455462978714	7.06189973834805951	6.03215013350438145	6.77532399700698207	4.14732343276460202	9.55971900099354954	8.21883881716706988	7.03318250377070697	20.25137696962422496	3.45069257892563330	4.58515459186601326	14.07300620314148887	2.05406983556987477	1.00000000000000000	2.63078398309203898	2.58949882522789165	1.60671816138221324	1.00000000000000000	4.96767971310357304	6.17119690595243231	4.03415527127334350	9.85151788046455934	8.77302753136759605	7.68786930339796726	9.24574578461450614	4.56771418642028681	1.65409286033246627
AL121820.2	1.09437188714330280	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.45070056896439614	1.00000000000000000	1.00000000000000000	1.10934387116667721	1.00000000000000000	1.00000000000000000	1.00000000000000000	6.70463672873308969	1.00000000000000000	3.06856759522274736	3.90282120734021998	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.85180254194914040	1.00000000000000000	1.00000000000000000	15.20765673130155982
AL121839.2	1.47749389197278225	1.26436688624980254	2.57473867211735730	12.47448558875802149	5.23508092788290469	2.97071517253611672	1.00000000000000000	1.00000000000000000	8.87692104852914809	1.00000000000000000	1.00000000000000000	13.36262038101592786	1.30325940172378640	1.00000000000000000	1.00000000000000000	1.21587737237017723	1.00000000000000000	1.00000000000000000	30.25530022277867914	13.73809665406525582	1.27414647920530388	1.00000000000000000	3.05558296332839729	1.48619237951788108	3.21104905433432553	8.86717349475179972	2.97311724258766663
AL121899.4	1.03158494850863769	12.95404509813984539	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.03423463777117175	1.00000000000000000	1.00000000000000000	1.29101101884121716	1.00000000000000000	2.95795862055620162	10.96328287595579276	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000
AL121944.1	7.88839121846721003	17.12561819753240044	21.46928524263189431	21.53244912759194918	43.40728500496727804	81.14975029892015357	115.48532223484579617	78.25650454550353174	104.47417821191550047	22.00276664115018832	46.08613155089466318	20.09018661837146169	5.46438149399309925	20.49186014333290728	5.27498796726904118	31.87380770052208590	17.39993450989331691	1.00000000000000000	42.54321926115491692	44.13994444965338459	16.06837693693810110	12.57136827108602617	19.96670087776356439	142.05619824152435626	136.78790683492798053	62.43150116380906667	9.43717559052010202
AL132709.8	1.31615494880502815	15.44373531427782886	2.64394461221811961	1.74438768901864205	1.00000000000000000	1.00000000000000000	8.61721684938511956	1.00000000000000000	1.00000000000000000	5.55351427412899579	6.27014777494362718	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.66415395088581342	1.00000000000000000	1.34674689002714265	1.00000000000000000	14.84102629105206894	15.12739538558022190	1.00000000000000000	5.60780821691132036	2.25965843101984820	1.63355657755270878	1.05640318258341925
AL133330.1	1.30718705238192867	21.03514593564451829	7.48606315116847920	3.34301794139327102	4.40021959680212671	3.77077387714387946	3.30558630575922363	1.00000000000000000	4.88893674218010599	1.85292871221790389	4.75381011726903502	1.00000000000000000	2.20348891436273497	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	12.38573811098106425	7.42690587511632128	4.77159318414351041	23.13549261027426951	5.07912728300906302	7.76895542324030419	11.50782421310896275	13.80562113458240248	1.93330117466457319
